# fields
key,value
document_type,medium-observability-run-v2
version,1.0.0
generated,false
benchmark_size_class,medium-v2
benchmark_profile,observability-v2
run_id,OBS-2026-05-21

# table:services
id,name,runtime,owner
SVC-001,service-1,rust,team-2
SVC-002,service-2,node,team-3
SVC-003,service-3,go,team-4
SVC-004,service-4,python,team-5
SVC-005,service-5,rust,team-6
SVC-006,service-6,node,team-1
SVC-007,service-7,go,team-2
SVC-008,service-8,python,team-3
SVC-009,service-9,rust,team-4
SVC-010,service-10,node,team-5
SVC-011,service-11,go,team-6
SVC-012,service-12,python,team-1
SVC-013,service-13,rust,team-2
SVC-014,service-14,node,team-3
SVC-015,service-15,go,team-4
SVC-016,service-16,python,team-5
SVC-017,service-17,rust,team-6
SVC-018,service-18,node,team-1
SVC-019,service-19,go,team-2
SVC-020,service-20,python,team-3
SVC-021,service-21,rust,team-4

# table:spans
id,service_id,operation,duration_ms,status
SPAN-002-022,SVC-002,operation_4,47,error
SPAN-002-023,SVC-002,operation_5,49,timeout
SPAN-003-001,SVC-003,operation_1,6,error
SPAN-003-002,SVC-003,operation_2,9,timeout
SPAN-003-003,SVC-003,operation_3,12,ok
SPAN-003-004,SVC-003,operation_4,15,error
SPAN-003-005,SVC-003,operation_5,18,timeout
SPAN-003-006,SVC-003,operation_6,21,ok
SPAN-003-007,SVC-003,operation_7,24,error
SPAN-003-008,SVC-003,operation_8,27,timeout
SPAN-003-009,SVC-003,operation_0,30,ok
SPAN-003-010,SVC-003,operation_1,33,error
SPAN-003-011,SVC-003,operation_2,36,timeout
SPAN-003-012,SVC-003,operation_3,39,ok
SPAN-003-013,SVC-003,operation_4,42,error
SPAN-003-014,SVC-003,operation_5,45,timeout
SPAN-003-015,SVC-003,operation_6,48,ok
SPAN-003-016,SVC-003,operation_7,51,error
SPAN-003-017,SVC-003,operation_8,54,timeout
SPAN-003-018,SVC-003,operation_0,57,ok
SPAN-003-019,SVC-003,operation_1,60,error
SPAN-003-020,SVC-003,operation_2,63,timeout
SPAN-003-021,SVC-003,operation_3,66,ok
SPAN-003-022,SVC-003,operation_4,69,error
SPAN-003-023,SVC-003,operation_5,72,timeout
SPAN-004-001,SVC-004,operation_1,7,error
SPAN-004-002,SVC-004,operation_2,11,timeout
SPAN-004-003,SVC-004,operation_3,15,ok
SPAN-004-004,SVC-004,operation_4,19,error
SPAN-004-005,SVC-004,operation_5,23,timeout
SPAN-004-006,SVC-004,operation_6,27,ok
SPAN-004-007,SVC-004,operation_7,31,error
SPAN-004-008,SVC-004,operation_8,35,timeout
SPAN-004-009,SVC-004,operation_0,39,ok
SPAN-004-010,SVC-004,operation_1,43,error
SPAN-004-011,SVC-004,operation_2,47,timeout
SPAN-004-012,SVC-004,operation_3,51,ok
SPAN-004-013,SVC-004,operation_4,55,error
SPAN-004-014,SVC-004,operation_5,59,timeout
SPAN-004-015,SVC-004,operation_6,63,ok
SPAN-004-016,SVC-004,operation_7,67,error
SPAN-004-017,SVC-004,operation_8,71,timeout
SPAN-004-018,SVC-004,operation_0,75,ok
SPAN-004-019,SVC-004,operation_1,79,error
SPAN-004-020,SVC-004,operation_2,83,timeout
SPAN-004-021,SVC-004,operation_3,87,ok
SPAN-004-022,SVC-004,operation_4,91,error
SPAN-004-023,SVC-004,operation_5,95,timeout
SPAN-005-001,SVC-005,operation_1,8,error
SPAN-005-002,SVC-005,operation_2,13,timeout
SPAN-005-003,SVC-005,operation_3,18,ok
SPAN-005-004,SVC-005,operation_4,23,error
SPAN-005-005,SVC-005,operation_5,28,timeout
SPAN-005-006,SVC-005,operation_6,33,ok
SPAN-005-007,SVC-005,operation_7,38,error
SPAN-005-008,SVC-005,operation_8,43,timeout
SPAN-005-009,SVC-005,operation_0,48,ok
SPAN-005-010,SVC-005,operation_1,53,error
SPAN-005-011,SVC-005,operation_2,58,timeout
SPAN-005-012,SVC-005,operation_3,63,ok
SPAN-005-013,SVC-005,operation_4,68,error
SPAN-005-014,SVC-005,operation_5,73,timeout
SPAN-005-015,SVC-005,operation_6,78,ok
SPAN-005-016,SVC-005,operation_7,83,error
SPAN-005-017,SVC-005,operation_8,88,timeout
SPAN-005-018,SVC-005,operation_0,93,ok
SPAN-005-019,SVC-005,operation_1,98,error
SPAN-005-020,SVC-005,operation_2,103,timeout
SPAN-005-021,SVC-005,operation_3,108,ok
SPAN-005-022,SVC-005,operation_4,113,error
SPAN-005-023,SVC-005,operation_5,118,timeout
SPAN-006-001,SVC-006,operation_1,9,error
SPAN-006-002,SVC-006,operation_2,15,timeout
SPAN-006-003,SVC-006,operation_3,21,ok
SPAN-006-004,SVC-006,operation_4,27,error
SPAN-006-005,SVC-006,operation_5,33,timeout
SPAN-006-006,SVC-006,operation_6,39,ok
SPAN-006-007,SVC-006,operation_7,45,error
SPAN-006-008,SVC-006,operation_8,51,timeout
SPAN-006-009,SVC-006,operation_0,57,ok
SPAN-006-010,SVC-006,operation_1,63,error
SPAN-006-011,SVC-006,operation_2,69,timeout
SPAN-006-012,SVC-006,operation_3,75,ok
SPAN-006-013,SVC-006,operation_4,81,error
SPAN-006-014,SVC-006,operation_5,87,timeout
SPAN-006-015,SVC-006,operation_6,93,ok
SPAN-006-016,SVC-006,operation_7,99,error
SPAN-006-017,SVC-006,operation_8,105,timeout
SPAN-006-018,SVC-006,operation_0,111,ok
SPAN-006-019,SVC-006,operation_1,117,error
SPAN-006-020,SVC-006,operation_2,123,timeout
SPAN-006-021,SVC-006,operation_3,129,ok
SPAN-006-022,SVC-006,operation_4,135,error
SPAN-006-023,SVC-006,operation_5,141,timeout
SPAN-007-001,SVC-007,operation_1,10,error
SPAN-007-002,SVC-007,operation_2,17,timeout
SPAN-007-003,SVC-007,operation_3,24,ok
SPAN-007-004,SVC-007,operation_4,31,error
SPAN-007-005,SVC-007,operation_5,38,timeout
SPAN-007-006,SVC-007,operation_6,45,ok
SPAN-007-007,SVC-007,operation_7,52,error
SPAN-007-008,SVC-007,operation_8,59,timeout
SPAN-007-009,SVC-007,operation_0,66,ok
SPAN-007-010,SVC-007,operation_1,73,error
SPAN-007-011,SVC-007,operation_2,80,timeout
SPAN-007-012,SVC-007,operation_3,87,ok
SPAN-007-013,SVC-007,operation_4,94,error
SPAN-007-014,SVC-007,operation_5,101,timeout
SPAN-007-015,SVC-007,operation_6,108,ok
SPAN-007-016,SVC-007,operation_7,115,error
SPAN-007-017,SVC-007,operation_8,122,timeout
SPAN-007-018,SVC-007,operation_0,129,ok
SPAN-007-019,SVC-007,operation_1,136,error
SPAN-007-020,SVC-007,operation_2,143,timeout
SPAN-007-021,SVC-007,operation_3,150,ok
SPAN-007-022,SVC-007,operation_4,157,error
SPAN-007-023,SVC-007,operation_5,164,timeout
SPAN-008-001,SVC-008,operation_1,11,error
SPAN-008-002,SVC-008,operation_2,19,timeout
SPAN-008-003,SVC-008,operation_3,27,ok
SPAN-008-004,SVC-008,operation_4,35,error
SPAN-008-005,SVC-008,operation_5,43,timeout
SPAN-008-006,SVC-008,operation_6,51,ok
SPAN-008-007,SVC-008,operation_7,59,error
SPAN-008-008,SVC-008,operation_8,67,timeout
SPAN-008-009,SVC-008,operation_0,75,ok
SPAN-008-010,SVC-008,operation_1,83,error
SPAN-008-011,SVC-008,operation_2,91,timeout
SPAN-008-012,SVC-008,operation_3,99,ok
SPAN-008-013,SVC-008,operation_4,107,error
SPAN-008-014,SVC-008,operation_5,115,timeout
SPAN-008-015,SVC-008,operation_6,123,ok
SPAN-008-016,SVC-008,operation_7,131,error
SPAN-008-017,SVC-008,operation_8,139,timeout
SPAN-008-018,SVC-008,operation_0,147,ok
SPAN-008-019,SVC-008,operation_1,155,error
SPAN-008-020,SVC-008,operation_2,163,timeout
SPAN-008-021,SVC-008,operation_3,171,ok
SPAN-008-022,SVC-008,operation_4,179,error
SPAN-008-023,SVC-008,operation_5,187,timeout
SPAN-009-001,SVC-009,operation_1,12,error
SPAN-009-002,SVC-009,operation_2,21,timeout
SPAN-009-003,SVC-009,operation_3,30,ok
SPAN-009-004,SVC-009,operation_4,39,error
SPAN-009-005,SVC-009,operation_5,48,timeout
SPAN-009-006,SVC-009,operation_6,57,ok
SPAN-009-007,SVC-009,operation_7,66,error
SPAN-009-008,SVC-009,operation_8,75,timeout
SPAN-009-009,SVC-009,operation_0,84,ok
SPAN-009-010,SVC-009,operation_1,93,error
SPAN-009-011,SVC-009,operation_2,102,timeout
SPAN-009-012,SVC-009,operation_3,111,ok
SPAN-009-013,SVC-009,operation_4,120,error
SPAN-009-014,SVC-009,operation_5,129,timeout
SPAN-009-015,SVC-009,operation_6,138,ok
SPAN-009-016,SVC-009,operation_7,147,error
SPAN-009-017,SVC-009,operation_8,156,timeout
SPAN-009-018,SVC-009,operation_0,165,ok
SPAN-009-019,SVC-009,operation_1,174,error
SPAN-009-020,SVC-009,operation_2,183,timeout
SPAN-009-021,SVC-009,operation_3,192,ok
SPAN-009-022,SVC-009,operation_4,201,error
SPAN-009-023,SVC-009,operation_5,210,timeout
SPAN-010-001,SVC-010,operation_1,13,error
SPAN-010-002,SVC-010,operation_2,23,timeout
SPAN-010-003,SVC-010,operation_3,33,ok
SPAN-010-004,SVC-010,operation_4,43,error
SPAN-010-005,SVC-010,operation_5,53,timeout
SPAN-010-006,SVC-010,operation_6,63,ok
SPAN-010-007,SVC-010,operation_7,73,error
SPAN-010-008,SVC-010,operation_8,83,timeout
SPAN-010-009,SVC-010,operation_0,93,ok
SPAN-010-010,SVC-010,operation_1,103,error
SPAN-010-011,SVC-010,operation_2,113,timeout
SPAN-010-012,SVC-010,operation_3,123,ok
SPAN-010-013,SVC-010,operation_4,133,error
SPAN-010-014,SVC-010,operation_5,143,timeout
SPAN-010-015,SVC-010,operation_6,153,ok
SPAN-010-016,SVC-010,operation_7,163,error
SPAN-010-017,SVC-010,operation_8,173,timeout
SPAN-010-018,SVC-010,operation_0,183,ok
SPAN-010-019,SVC-010,operation_1,193,error
SPAN-010-020,SVC-010,operation_2,203,timeout
SPAN-010-021,SVC-010,operation_3,213,ok
SPAN-010-022,SVC-010,operation_4,223,error
SPAN-010-023,SVC-010,operation_5,233,timeout
SPAN-011-001,SVC-011,operation_1,14,error
SPAN-011-002,SVC-011,operation_2,25,timeout
SPAN-011-003,SVC-011,operation_3,36,ok
SPAN-011-004,SVC-011,operation_4,47,error
SPAN-011-005,SVC-011,operation_5,58,timeout
SPAN-011-006,SVC-011,operation_6,69,ok
SPAN-011-007,SVC-011,operation_7,80,error
SPAN-011-008,SVC-011,operation_8,91,timeout
SPAN-011-009,SVC-011,operation_0,102,ok
SPAN-011-010,SVC-011,operation_1,113,error
SPAN-011-011,SVC-011,operation_2,124,timeout
SPAN-011-012,SVC-011,operation_3,135,ok
SPAN-011-013,SVC-011,operation_4,146,error
SPAN-011-014,SVC-011,operation_5,157,timeout
SPAN-011-015,SVC-011,operation_6,168,ok
SPAN-011-016,SVC-011,operation_7,179,error
SPAN-011-017,SVC-011,operation_8,190,timeout
SPAN-011-018,SVC-011,operation_0,201,ok
SPAN-011-019,SVC-011,operation_1,212,error
SPAN-011-020,SVC-011,operation_2,223,timeout
SPAN-011-021,SVC-011,operation_3,234,ok
SPAN-011-022,SVC-011,operation_4,245,error
SPAN-011-023,SVC-011,operation_5,256,timeout
SPAN-012-001,SVC-012,operation_1,15,error
SPAN-012-002,SVC-012,operation_2,27,timeout
SPAN-012-003,SVC-012,operation_3,39,ok
SPAN-012-004,SVC-012,operation_4,51,error
SPAN-012-005,SVC-012,operation_5,63,timeout
SPAN-012-006,SVC-012,operation_6,75,ok
SPAN-012-007,SVC-012,operation_7,87,error
SPAN-012-008,SVC-012,operation_8,99,timeout
SPAN-012-009,SVC-012,operation_0,111,ok
SPAN-012-010,SVC-012,operation_1,123,error
SPAN-012-011,SVC-012,operation_2,135,timeout
SPAN-012-012,SVC-012,operation_3,147,ok
SPAN-012-013,SVC-012,operation_4,159,error
SPAN-012-014,SVC-012,operation_5,171,timeout
SPAN-012-015,SVC-012,operation_6,183,ok
SPAN-012-016,SVC-012,operation_7,195,error
SPAN-012-017,SVC-012,operation_8,207,timeout
SPAN-012-018,SVC-012,operation_0,219,ok
SPAN-012-019,SVC-012,operation_1,231,error
SPAN-012-020,SVC-012,operation_2,243,timeout
SPAN-012-021,SVC-012,operation_3,255,ok
SPAN-012-022,SVC-012,operation_4,267,error
SPAN-012-023,SVC-012,operation_5,279,timeout
SPAN-013-001,SVC-013,operation_1,16,error
SPAN-013-002,SVC-013,operation_2,29,timeout
SPAN-013-003,SVC-013,operation_3,42,ok
SPAN-013-004,SVC-013,operation_4,55,error
SPAN-013-005,SVC-013,operation_5,68,timeout
SPAN-013-006,SVC-013,operation_6,81,ok
SPAN-013-007,SVC-013,operation_7,94,error
SPAN-013-008,SVC-013,operation_8,107,timeout
SPAN-013-009,SVC-013,operation_0,120,ok
SPAN-013-010,SVC-013,operation_1,133,error
SPAN-013-011,SVC-013,operation_2,146,timeout
SPAN-013-012,SVC-013,operation_3,159,ok
SPAN-013-013,SVC-013,operation_4,172,error
SPAN-013-014,SVC-013,operation_5,185,timeout
SPAN-013-015,SVC-013,operation_6,198,ok
SPAN-013-016,SVC-013,operation_7,211,error
SPAN-013-017,SVC-013,operation_8,224,timeout
SPAN-013-018,SVC-013,operation_0,237,ok
SPAN-013-019,SVC-013,operation_1,250,error
SPAN-013-020,SVC-013,operation_2,263,timeout
SPAN-013-021,SVC-013,operation_3,276,ok
SPAN-013-022,SVC-013,operation_4,289,error
SPAN-013-023,SVC-013,operation_5,302,timeout
SPAN-014-001,SVC-014,operation_1,17,error
SPAN-014-002,SVC-014,operation_2,31,timeout
SPAN-014-003,SVC-014,operation_3,45,ok
SPAN-014-004,SVC-014,operation_4,59,error
SPAN-014-005,SVC-014,operation_5,73,timeout
SPAN-014-006,SVC-014,operation_6,87,ok
SPAN-014-007,SVC-014,operation_7,101,error
SPAN-014-008,SVC-014,operation_8,115,timeout
SPAN-014-009,SVC-014,operation_0,129,ok
SPAN-014-010,SVC-014,operation_1,143,error
SPAN-014-011,SVC-014,operation_2,157,timeout
SPAN-014-012,SVC-014,operation_3,171,ok
SPAN-014-013,SVC-014,operation_4,185,error
SPAN-014-014,SVC-014,operation_5,199,timeout
SPAN-014-015,SVC-014,operation_6,213,ok
SPAN-014-016,SVC-014,operation_7,227,error
SPAN-014-017,SVC-014,operation_8,241,timeout
SPAN-014-018,SVC-014,operation_0,255,ok
SPAN-014-019,SVC-014,operation_1,269,error
SPAN-014-020,SVC-014,operation_2,283,timeout
SPAN-014-021,SVC-014,operation_3,297,ok
SPAN-014-022,SVC-014,operation_4,311,error
SPAN-014-023,SVC-014,operation_5,325,timeout
SPAN-015-001,SVC-015,operation_1,18,error
SPAN-015-002,SVC-015,operation_2,33,timeout
SPAN-015-003,SVC-015,operation_3,48,ok
SPAN-015-004,SVC-015,operation_4,63,error
SPAN-015-005,SVC-015,operation_5,78,timeout
SPAN-015-006,SVC-015,operation_6,93,ok
SPAN-015-007,SVC-015,operation_7,108,error
SPAN-015-008,SVC-015,operation_8,123,timeout
SPAN-015-009,SVC-015,operation_0,138,ok
SPAN-015-010,SVC-015,operation_1,153,error
SPAN-015-011,SVC-015,operation_2,168,timeout
SPAN-015-012,SVC-015,operation_3,183,ok
SPAN-015-013,SVC-015,operation_4,198,error
SPAN-015-014,SVC-015,operation_5,213,timeout
SPAN-015-015,SVC-015,operation_6,228,ok
SPAN-015-016,SVC-015,operation_7,243,error
SPAN-015-017,SVC-015,operation_8,258,timeout
SPAN-015-018,SVC-015,operation_0,273,ok
SPAN-015-019,SVC-015,operation_1,288,error
SPAN-015-020,SVC-015,operation_2,303,timeout
SPAN-015-021,SVC-015,operation_3,318,ok
SPAN-015-022,SVC-015,operation_4,333,error
SPAN-015-023,SVC-015,operation_5,348,timeout
SPAN-016-001,SVC-016,operation_1,19,error
SPAN-016-002,SVC-016,operation_2,35,timeout
SPAN-016-003,SVC-016,operation_3,51,ok
SPAN-016-004,SVC-016,operation_4,67,error
SPAN-016-005,SVC-016,operation_5,83,timeout
SPAN-016-006,SVC-016,operation_6,99,ok
SPAN-016-007,SVC-016,operation_7,115,error
SPAN-016-008,SVC-016,operation_8,131,timeout
SPAN-016-009,SVC-016,operation_0,147,ok
SPAN-016-010,SVC-016,operation_1,163,error
SPAN-016-011,SVC-016,operation_2,179,timeout
SPAN-016-012,SVC-016,operation_3,195,ok
SPAN-016-013,SVC-016,operation_4,211,error
SPAN-016-014,SVC-016,operation_5,227,timeout
SPAN-016-015,SVC-016,operation_6,243,ok
SPAN-016-016,SVC-016,operation_7,259,error
SPAN-016-017,SVC-016,operation_8,275,timeout
SPAN-016-018,SVC-016,operation_0,291,ok
SPAN-016-019,SVC-016,operation_1,307,error
SPAN-016-020,SVC-016,operation_2,323,timeout
SPAN-016-021,SVC-016,operation_3,339,ok
SPAN-016-022,SVC-016,operation_4,355,error
SPAN-016-023,SVC-016,operation_5,371,timeout
SPAN-017-001,SVC-017,operation_1,20,error
SPAN-017-002,SVC-017,operation_2,37,timeout
SPAN-017-003,SVC-017,operation_3,54,ok
SPAN-017-004,SVC-017,operation_4,71,error
SPAN-017-005,SVC-017,operation_5,88,timeout
SPAN-017-006,SVC-017,operation_6,105,ok
SPAN-017-007,SVC-017,operation_7,122,error
SPAN-017-008,SVC-017,operation_8,139,timeout
SPAN-017-009,SVC-017,operation_0,156,ok
SPAN-017-010,SVC-017,operation_1,173,error
SPAN-017-011,SVC-017,operation_2,190,timeout
SPAN-017-012,SVC-017,operation_3,207,ok
SPAN-017-013,SVC-017,operation_4,224,error
SPAN-017-014,SVC-017,operation_5,241,timeout
SPAN-017-015,SVC-017,operation_6,258,ok
SPAN-017-016,SVC-017,operation_7,275,error
SPAN-017-017,SVC-017,operation_8,292,timeout
SPAN-017-018,SVC-017,operation_0,309,ok
SPAN-017-019,SVC-017,operation_1,326,error
SPAN-017-020,SVC-017,operation_2,343,timeout
SPAN-017-021,SVC-017,operation_3,360,ok
SPAN-017-022,SVC-017,operation_4,377,error
SPAN-017-023,SVC-017,operation_5,394,timeout
SPAN-018-001,SVC-018,operation_1,21,error
SPAN-018-002,SVC-018,operation_2,39,timeout
SPAN-018-003,SVC-018,operation_3,57,ok
SPAN-018-004,SVC-018,operation_4,75,error
SPAN-018-005,SVC-018,operation_5,93,timeout
SPAN-018-006,SVC-018,operation_6,111,ok
SPAN-018-007,SVC-018,operation_7,129,error
SPAN-018-008,SVC-018,operation_8,147,timeout
SPAN-018-009,SVC-018,operation_0,165,ok
SPAN-018-010,SVC-018,operation_1,183,error
SPAN-018-011,SVC-018,operation_2,201,timeout
SPAN-018-012,SVC-018,operation_3,219,ok
SPAN-018-013,SVC-018,operation_4,237,error
SPAN-018-014,SVC-018,operation_5,255,timeout
SPAN-018-015,SVC-018,operation_6,273,ok
SPAN-018-016,SVC-018,operation_7,291,error
SPAN-018-017,SVC-018,operation_8,309,timeout
SPAN-018-018,SVC-018,operation_0,327,ok
SPAN-018-019,SVC-018,operation_1,345,error
SPAN-018-020,SVC-018,operation_2,363,timeout
SPAN-018-021,SVC-018,operation_3,381,ok
SPAN-018-022,SVC-018,operation_4,399,error
SPAN-018-023,SVC-018,operation_5,417,timeout
SPAN-019-001,SVC-019,operation_1,22,error
SPAN-019-002,SVC-019,operation_2,41,timeout
SPAN-019-003,SVC-019,operation_3,60,ok
SPAN-019-004,SVC-019,operation_4,79,error
SPAN-019-005,SVC-019,operation_5,98,timeout
SPAN-019-006,SVC-019,operation_6,117,ok
SPAN-019-007,SVC-019,operation_7,136,error
SPAN-019-008,SVC-019,operation_8,155,timeout
SPAN-019-009,SVC-019,operation_0,174,ok
SPAN-019-010,SVC-019,operation_1,193,error
SPAN-019-011,SVC-019,operation_2,212,timeout
SPAN-019-012,SVC-019,operation_3,231,ok
SPAN-019-013,SVC-019,operation_4,250,error
SPAN-019-014,SVC-019,operation_5,269,timeout
SPAN-019-015,SVC-019,operation_6,288,ok
SPAN-019-016,SVC-019,operation_7,307,error
SPAN-019-017,SVC-019,operation_8,326,timeout
SPAN-019-018,SVC-019,operation_0,345,ok
SPAN-019-019,SVC-019,operation_1,364,error
SPAN-019-020,SVC-019,operation_2,383,timeout
SPAN-019-021,SVC-019,operation_3,402,ok
SPAN-019-022,SVC-019,operation_4,421,error
SPAN-019-023,SVC-019,operation_5,440,timeout
SPAN-020-001,SVC-020,operation_1,23,error
SPAN-020-002,SVC-020,operation_2,43,timeout
SPAN-020-003,SVC-020,operation_3,63,ok
SPAN-020-004,SVC-020,operation_4,83,error
SPAN-020-005,SVC-020,operation_5,103,timeout
SPAN-020-006,SVC-020,operation_6,123,ok
SPAN-020-007,SVC-020,operation_7,143,error
SPAN-020-008,SVC-020,operation_8,163,timeout
SPAN-020-009,SVC-020,operation_0,183,ok
SPAN-020-010,SVC-020,operation_1,203,error
SPAN-020-011,SVC-020,operation_2,223,timeout
SPAN-020-012,SVC-020,operation_3,243,ok
SPAN-020-013,SVC-020,operation_4,263,error
SPAN-020-014,SVC-020,operation_5,283,timeout
SPAN-020-015,SVC-020,operation_6,303,ok
SPAN-020-016,SVC-020,operation_7,323,error
SPAN-020-017,SVC-020,operation_8,343,timeout
SPAN-020-018,SVC-020,operation_0,363,ok
SPAN-020-019,SVC-020,operation_1,383,error
SPAN-020-020,SVC-020,operation_2,403,timeout
SPAN-020-021,SVC-020,operation_3,423,ok
SPAN-020-022,SVC-020,operation_4,443,error
SPAN-020-023,SVC-020,operation_5,463,timeout
SPAN-021-001,SVC-021,operation_1,24,error
SPAN-021-002,SVC-021,operation_2,45,timeout
SPAN-021-003,SVC-021,operation_3,66,ok
SPAN-021-004,SVC-021,operation_4,87,error
SPAN-021-005,SVC-021,operation_5,108,timeout
SPAN-021-006,SVC-021,operation_6,129,ok
SPAN-021-007,SVC-021,operation_7,150,error
SPAN-021-008,SVC-021,operation_8,171,timeout
SPAN-021-009,SVC-021,operation_0,192,ok
SPAN-021-010,SVC-021,operation_1,213,error
SPAN-021-011,SVC-021,operation_2,234,timeout
SPAN-021-012,SVC-021,operation_3,255,ok
SPAN-021-013,SVC-021,operation_4,276,error
SPAN-021-014,SVC-021,operation_5,297,timeout
SPAN-021-015,SVC-021,operation_6,318,ok
SPAN-021-016,SVC-021,operation_7,339,error
SPAN-021-017,SVC-021,operation_8,360,timeout
SPAN-021-018,SVC-021,operation_0,381,ok
SPAN-021-019,SVC-021,operation_1,402,error
SPAN-021-020,SVC-021,operation_2,423,timeout
SPAN-021-021,SVC-021,operation_3,444,ok
SPAN-021-022,SVC-021,operation_4,465,error
SPAN-021-023,SVC-021,operation_5,486,timeout

# table:metrics
span_id,name,value,unit
SPAN-001-001,cpu,1,percent
SPAN-001-002,allocations,2,count
SPAN-001-003,queue_depth,3,items
SPAN-001-004,latency,4,ms
SPAN-001-005,cpu,5,percent
SPAN-001-006,allocations,6,count
SPAN-001-007,queue_depth,7,items
SPAN-001-008,latency,8,ms
SPAN-001-009,cpu,9,percent
SPAN-001-010,allocations,10,count
SPAN-001-011,queue_depth,11,items
SPAN-001-012,latency,12,ms
SPAN-001-013,cpu,13,percent
SPAN-001-014,allocations,14,count
SPAN-001-015,queue_depth,15,items
SPAN-001-016,latency,16,ms
SPAN-001-017,cpu,17,percent
SPAN-001-018,allocations,18,count
SPAN-001-019,queue_depth,19,items
SPAN-001-020,latency,20,ms
SPAN-001-021,cpu,21,percent
SPAN-001-022,allocations,22,count
SPAN-001-023,queue_depth,23,items
SPAN-002-001,cpu,2,percent
SPAN-002-002,allocations,4,count
SPAN-002-003,queue_depth,6,items
SPAN-002-004,latency,8,ms
SPAN-002-005,cpu,10,percent
SPAN-002-006,allocations,12,count
SPAN-002-007,queue_depth,14,items
SPAN-002-008,latency,16,ms
SPAN-002-009,cpu,18,percent
SPAN-002-010,allocations,20,count
SPAN-002-011,queue_depth,22,items
SPAN-002-012,latency,24,ms
SPAN-002-013,cpu,26,percent
SPAN-002-014,allocations,28,count
SPAN-002-015,queue_depth,30,items
SPAN-002-016,latency,32,ms
SPAN-002-017,cpu,34,percent
SPAN-002-018,allocations,36,count
SPAN-002-019,queue_depth,38,items
SPAN-002-020,latency,40,ms
SPAN-002-021,cpu,42,percent
SPAN-002-022,allocations,44,count
SPAN-002-023,queue_depth,46,items
SPAN-003-001,cpu,3,percent
SPAN-003-002,allocations,6,count
SPAN-003-003,queue_depth,9,items
SPAN-003-004,latency,12,ms
SPAN-003-005,cpu,15,percent
SPAN-003-006,allocations,18,count
SPAN-003-007,queue_depth,21,items
SPAN-003-008,latency,24,ms
SPAN-003-009,cpu,27,percent
