# fields
key,value
document_type,large-knowledge-graph
version,1.0.0
generated,true
benchmark_size_class,large
benchmark_profile,graph-relational

# table:nodes
id,kind,label,community,weight
NODE-00038,person,Knowledge graph node 38,community-14,3.8
NODE-00039,dataset,Knowledge graph node 39,community-15,3.9
NODE-00040,concept,Knowledge graph node 40,community-16,4.0
NODE-00041,service,Knowledge graph node 41,community-17,4.1
NODE-00042,document,Knowledge graph node 42,community-18,4.2
NODE-00043,person,Knowledge graph node 43,community-19,4.3
NODE-00044,dataset,Knowledge graph node 44,community-20,4.4
NODE-00045,concept,Knowledge graph node 45,community-21,4.5
NODE-00046,service,Knowledge graph node 46,community-22,4.6
NODE-00047,document,Knowledge graph node 47,community-23,4.7
NODE-00048,person,Knowledge graph node 48,community-0,4.8
NODE-00049,dataset,Knowledge graph node 49,community-1,4.9
NODE-00050,concept,Knowledge graph node 50,community-2,5.0
NODE-00051,service,Knowledge graph node 51,community-3,5.1
NODE-00052,document,Knowledge graph node 52,community-4,5.2
NODE-00053,person,Knowledge graph node 53,community-5,5.3
NODE-00054,dataset,Knowledge graph node 54,community-6,5.4
NODE-00055,concept,Knowledge graph node 55,community-7,5.5
NODE-00056,service,Knowledge graph node 56,community-8,5.6
NODE-00057,document,Knowledge graph node 57,community-9,5.7
NODE-00058,person,Knowledge graph node 58,community-10,5.8
NODE-00059,dataset,Knowledge graph node 59,community-11,5.9
NODE-00060,concept,Knowledge graph node 60,community-12,6.0
NODE-00061,service,Knowledge graph node 61,community-13,6.1
NODE-00062,document,Knowledge graph node 62,community-14,6.2
NODE-00063,person,Knowledge graph node 63,community-15,6.3
NODE-00064,dataset,Knowledge graph node 64,community-16,6.4
NODE-00065,concept,Knowledge graph node 65,community-17,6.5
NODE-00066,service,Knowledge graph node 66,community-18,6.6
NODE-00067,document,Knowledge graph node 67,community-19,6.7
NODE-00068,person,Knowledge graph node 68,community-20,6.8
NODE-00069,dataset,Knowledge graph node 69,community-21,6.9
NODE-00070,concept,Knowledge graph node 70,community-22,7.0
NODE-00071,service,Knowledge graph node 71,community-23,7.1
NODE-00072,document,Knowledge graph node 72,community-0,7.2
NODE-00073,person,Knowledge graph node 73,community-1,7.3
NODE-00074,dataset,Knowledge graph node 74,community-2,7.4
NODE-00075,concept,Knowledge graph node 75,community-3,7.5
NODE-00076,service,Knowledge graph node 76,community-4,7.6
NODE-00077,document,Knowledge graph node 77,community-5,7.7
NODE-00078,person,Knowledge graph node 78,community-6,7.8
NODE-00079,dataset,Knowledge graph node 79,community-7,7.9
NODE-00080,concept,Knowledge graph node 80,community-8,8.0
NODE-00081,service,Knowledge graph node 81,community-9,8.1
NODE-00082,document,Knowledge graph node 82,community-10,8.2
NODE-00083,person,Knowledge graph node 83,community-11,8.3
NODE-00084,dataset,Knowledge graph node 84,community-12,8.4
NODE-00085,concept,Knowledge graph node 85,community-13,8.5
NODE-00086,service,Knowledge graph node 86,community-14,8.6
NODE-00087,document,Knowledge graph node 87,community-15,8.7
NODE-00088,person,Knowledge graph node 88,community-16,8.8
NODE-00089,dataset,Knowledge graph node 89,community-17,8.9
NODE-00090,concept,Knowledge graph node 90,community-18,9.0
NODE-00091,service,Knowledge graph node 91,community-19,9.1
NODE-00092,document,Knowledge graph node 92,community-20,9.2
NODE-00093,person,Knowledge graph node 93,community-21,9.3
NODE-00094,dataset,Knowledge graph node 94,community-22,9.4
NODE-00095,concept,Knowledge graph node 95,community-23,9.5
NODE-00096,service,Knowledge graph node 96,community-0,9.6
NODE-00097,document,Knowledge graph node 97,community-1,9.7
NODE-00098,person,Knowledge graph node 98,community-2,9.8
NODE-00099,dataset,Knowledge graph node 99,community-3,9.9
NODE-00100,concept,Knowledge graph node 100,community-4,0.0
NODE-00101,service,Knowledge graph node 101,community-5,0.1
NODE-00102,document,Knowledge graph node 102,community-6,0.2
NODE-00103,person,Knowledge graph node 103,community-7,0.3
NODE-00104,dataset,Knowledge graph node 104,community-8,0.4
NODE-00105,concept,Knowledge graph node 105,community-9,0.5
NODE-00106,service,Knowledge graph node 106,community-10,0.6
NODE-00107,document,Knowledge graph node 107,community-11,0.7
NODE-00108,person,Knowledge graph node 108,community-12,0.8
NODE-00109,dataset,Knowledge graph node 109,community-13,0.9
NODE-00110,concept,Knowledge graph node 110,community-14,1.0
NODE-00111,service,Knowledge graph node 111,community-15,1.1
NODE-00112,document,Knowledge graph node 112,community-16,1.2
NODE-00113,person,Knowledge graph node 113,community-17,1.3
NODE-00114,dataset,Knowledge graph node 114,community-18,1.4
NODE-00115,concept,Knowledge graph node 115,community-19,1.5
NODE-00116,service,Knowledge graph node 116,community-20,1.6
NODE-00117,document,Knowledge graph node 117,community-21,1.7
NODE-00118,person,Knowledge graph node 118,community-22,1.8
NODE-00119,dataset,Knowledge graph node 119,community-23,1.9
NODE-00120,concept,Knowledge graph node 120,community-0,2.0
NODE-00121,service,Knowledge graph node 121,community-1,2.1
NODE-00122,document,Knowledge graph node 122,community-2,2.2
NODE-00123,person,Knowledge graph node 123,community-3,2.3
NODE-00124,dataset,Knowledge graph node 124,community-4,2.4
NODE-00125,concept,Knowledge graph node 125,community-5,2.5
NODE-00126,service,Knowledge graph node 126,community-6,2.6
NODE-00127,document,Knowledge graph node 127,community-7,2.7
NODE-00128,person,Knowledge graph node 128,community-8,2.8
NODE-00129,dataset,Knowledge graph node 129,community-9,2.9
NODE-00130,concept,Knowledge graph node 130,community-10,3.0
NODE-00131,service,Knowledge graph node 131,community-11,3.1
NODE-00132,document,Knowledge graph node 132,community-12,3.2
NODE-00133,person,Knowledge graph node 133,community-13,3.3
NODE-00134,dataset,Knowledge graph node 134,community-14,3.4
NODE-00135,concept,Knowledge graph node 135,community-15,3.5
NODE-00136,service,Knowledge graph node 136,community-16,3.6
NODE-00137,document,Knowledge graph node 137,community-17,3.7
NODE-00138,person,Knowledge graph node 138,community-18,3.8
NODE-00139,dataset,Knowledge graph node 139,community-19,3.9
NODE-00140,concept,Knowledge graph node 140,community-20,4.0
NODE-00141,service,Knowledge graph node 141,community-21,4.1
NODE-00142,document,Knowledge graph node 142,community-22,4.2
NODE-00143,person,Knowledge graph node 143,community-23,4.3
NODE-00144,dataset,Knowledge graph node 144,community-0,4.4
NODE-00145,concept,Knowledge graph node 145,community-1,4.5
NODE-00146,service,Knowledge graph node 146,community-2,4.6
NODE-00147,document,Knowledge graph node 147,community-3,4.7
NODE-00148,person,Knowledge graph node 148,community-4,4.8
NODE-00149,dataset,Knowledge graph node 149,community-5,4.9
NODE-00150,concept,Knowledge graph node 150,community-6,5.0
NODE-00151,service,Knowledge graph node 151,community-7,5.1
NODE-00152,document,Knowledge graph node 152,community-8,5.2
NODE-00153,person,Knowledge graph node 153,community-9,5.3
NODE-00154,dataset,Knowledge graph node 154,community-10,5.4
NODE-00155,concept,Knowledge graph node 155,community-11,5.5
NODE-00156,service,Knowledge graph node 156,community-12,5.6
NODE-00157,document,Knowledge graph node 157,community-13,5.7
NODE-00158,person,Knowledge graph node 158,community-14,5.8
NODE-00159,dataset,Knowledge graph node 159,community-15,5.9
NODE-00160,concept,Knowledge graph node 160,community-16,6.0
NODE-00161,service,Knowledge graph node 161,community-17,6.1
NODE-00162,document,Knowledge graph node 162,community-18,6.2
NODE-00163,person,Knowledge graph node 163,community-19,6.3
NODE-00164,dataset,Knowledge graph node 164,community-20,6.4
NODE-00165,concept,Knowledge graph node 165,community-21,6.5
NODE-00166,service,Knowledge graph node 166,community-22,6.6
NODE-00167,document,Knowledge graph node 167,community-23,6.7
NODE-00168,person,Knowledge graph node 168,community-0,6.8
NODE-00169,dataset,Knowledge graph node 169,community-1,6.9
NODE-00170,concept,Knowledge graph node 170,community-2,7.0
NODE-00171,service,Knowledge graph node 171,community-3,7.1
NODE-00172,document,Knowledge graph node 172,community-4,7.2
NODE-00173,person,Knowledge graph node 173,community-5,7.3
NODE-00174,dataset,Knowledge graph node 174,community-6,7.4
NODE-00175,concept,Knowledge graph node 175,community-7,7.5
NODE-00176,service,Knowledge graph node 176,community-8,7.6
NODE-00177,document,Knowledge graph node 177,community-9,7.7
NODE-00178,person,Knowledge graph node 178,community-10,7.8
NODE-00179,dataset,Knowledge graph node 179,community-11,7.9
NODE-00180,concept,Knowledge graph node 180,community-12,8.0
NODE-00181,service,Knowledge graph node 181,community-13,8.1
NODE-00182,document,Knowledge graph node 182,community-14,8.2
NODE-00183,person,Knowledge graph node 183,community-15,8.3
NODE-00184,dataset,Knowledge graph node 184,community-16,8.4
NODE-00185,concept,Knowledge graph node 185,community-17,8.5
NODE-00186,service,Knowledge graph node 186,community-18,8.6
NODE-00187,document,Knowledge graph node 187,community-19,8.7
NODE-00188,person,Knowledge graph node 188,community-20,8.8
NODE-00189,dataset,Knowledge graph node 189,community-21,8.9
NODE-00190,concept,Knowledge graph node 190,community-22,9.0
NODE-00191,service,Knowledge graph node 191,community-23,9.1
NODE-00192,document,Knowledge graph node 192,community-0,9.2
NODE-00193,person,Knowledge graph node 193,community-1,9.3
NODE-00194,dataset,Knowledge graph node 194,community-2,9.4
NODE-00195,concept,Knowledge graph node 195,community-3,9.5
NODE-00196,service,Knowledge graph node 196,community-4,9.6
NODE-00197,document,Knowledge graph node 197,community-5,9.7
NODE-00198,person,Knowledge graph node 198,community-6,9.8
NODE-00199,dataset,Knowledge graph node 199,community-7,9.9
NODE-00200,concept,Knowledge graph node 200,community-8,0.0
NODE-00201,service,Knowledge graph node 201,community-9,0.1
NODE-00202,document,Knowledge graph node 202,community-10,0.2
NODE-00203,person,Knowledge graph node 203,community-11,0.3
NODE-00204,dataset,Knowledge graph node 204,community-12,0.4
NODE-00205,concept,Knowledge graph node 205,community-13,0.5
NODE-00206,service,Knowledge graph node 206,community-14,0.6
NODE-00207,document,Knowledge graph node 207,community-15,0.7
NODE-00208,person,Knowledge graph node 208,community-16,0.8
NODE-00209,dataset,Knowledge graph node 209,community-17,0.9
NODE-00210,concept,Knowledge graph node 210,community-18,1.0
NODE-00211,service,Knowledge graph node 211,community-19,1.1
NODE-00212,document,Knowledge graph node 212,community-20,1.2
NODE-00213,person,Knowledge graph node 213,community-21,1.3
NODE-00214,dataset,Knowledge graph node 214,community-22,1.4
NODE-00215,concept,Knowledge graph node 215,community-23,1.5
NODE-00216,service,Knowledge graph node 216,community-0,1.6
NODE-00217,document,Knowledge graph node 217,community-1,1.7
NODE-00218,person,Knowledge graph node 218,community-2,1.8
NODE-00219,dataset,Knowledge graph node 219,community-3,1.9
NODE-00220,concept,Knowledge graph node 220,community-4,2.0
NODE-00221,service,Knowledge graph node 221,community-5,2.1
NODE-00222,document,Knowledge graph node 222,community-6,2.2
NODE-00223,person,Knowledge graph node 223,community-7,2.3
NODE-00224,dataset,Knowledge graph node 224,community-8,2.4
NODE-00225,concept,Knowledge graph node 225,community-9,2.5
NODE-00226,service,Knowledge graph node 226,community-10,2.6
NODE-00227,document,Knowledge graph node 227,community-11,2.7
NODE-00228,person,Knowledge graph node 228,community-12,2.8
NODE-00229,dataset,Knowledge graph node 229,community-13,2.9
NODE-00230,concept,Knowledge graph node 230,community-14,3.0
NODE-00231,service,Knowledge graph node 231,community-15,3.1
NODE-00232,document,Knowledge graph node 232,community-16,3.2
NODE-00233,person,Knowledge graph node 233,community-17,3.3
NODE-00234,dataset,Knowledge graph node 234,community-18,3.4
NODE-00235,concept,Knowledge graph node 235,community-19,3.5
NODE-00236,service,Knowledge graph node 236,community-20,3.6
NODE-00237,document,Knowledge graph node 237,community-21,3.7
NODE-00238,person,Knowledge graph node 238,community-22,3.8
NODE-00239,dataset,Knowledge graph node 239,community-23,3.9
NODE-00240,concept,Knowledge graph node 240,community-0,4.0
NODE-00241,service,Knowledge graph node 241,community-1,4.1
NODE-00242,document,Knowledge graph node 242,community-2,4.2
NODE-00243,person,Knowledge graph node 243,community-3,4.3
NODE-00244,dataset,Knowledge graph node 244,community-4,4.4
NODE-00245,concept,Knowledge graph node 245,community-5,4.5
NODE-00246,service,Knowledge graph node 246,community-6,4.6
NODE-00247,document,Knowledge graph node 247,community-7,4.7
NODE-00248,person,Knowledge graph node 248,community-8,4.8
NODE-00249,dataset,Knowledge graph node 249,community-9,4.9
NODE-00250,concept,Knowledge graph node 250,community-10,5.0
NODE-00251,service,Knowledge graph node 251,community-11,5.1
NODE-00252,document,Knowledge graph node 252,community-12,5.2
NODE-00253,person,Knowledge graph node 253,community-13,5.3
NODE-00254,dataset,Knowledge graph node 254,community-14,5.4
NODE-00255,concept,Knowledge graph node 255,community-15,5.5
NODE-00256,service,Knowledge graph node 256,community-16,5.6
NODE-00257,document,Knowledge graph node 257,community-17,5.7
NODE-00258,person,Knowledge graph node 258,community-18,5.8
NODE-00259,dataset,Knowledge graph node 259,community-19,5.9
NODE-00260,concept,Knowledge graph node 260,community-20,6.0
NODE-00261,service,Knowledge graph node 261,community-21,6.1
NODE-00262,document,Knowledge graph node 262,community-22,6.2
NODE-00263,person,Knowledge graph node 263,community-23,6.3
NODE-00264,dataset,Knowledge graph node 264,community-0,6.4
NODE-00265,concept,Knowledge graph node 265,community-1,6.5
NODE-00266,service,Knowledge graph node 266,community-2,6.6
NODE-00267,document,Knowledge graph node 267,community-3,6.7
NODE-00268,person,Knowledge graph node 268,community-4,6.8
NODE-00269,dataset,Knowledge graph node 269,community-5,6.9
NODE-00270,concept,Knowledge graph node 270,community-6,7.0
NODE-00271,service,Knowledge graph node 271,community-7,7.1
NODE-00272,document,Knowledge graph node 272,community-8,7.2
NODE-00273,person,Knowledge graph node 273,community-9,7.3
NODE-00274,dataset,Knowledge graph node 274,community-10,7.4
NODE-00275,concept,Knowledge graph node 275,community-11,7.5
NODE-00276,service,Knowledge graph node 276,community-12,7.6
NODE-00277,document,Knowledge graph node 277,community-13,7.7
NODE-00278,person,Knowledge graph node 278,community-14,7.8
NODE-00279,dataset,Knowledge graph node 279,community-15,7.9
NODE-00280,concept,Knowledge graph node 280,community-16,8.0
NODE-00281,service,Knowledge graph node 281,community-17,8.1
NODE-00282,document,Knowledge graph node 282,community-18,8.2
NODE-00283,person,Knowledge graph node 283,community-19,8.3
NODE-00284,dataset,Knowledge graph node 284,community-20,8.4
NODE-00285,concept,Knowledge graph node 285,community-21,8.5
NODE-00286,service,Knowledge graph node 286,community-22,8.6
NODE-00287,document,Knowledge graph node 287,community-23,8.7
NODE-00288,person,Knowledge graph node 288,community-0,8.8
NODE-00289,dataset,Knowledge graph node 289,community-1,8.9
NODE-00290,concept,Knowledge graph node 290,community-2,9.0
NODE-00291,service,Knowledge graph node 291,community-3,9.1
NODE-00292,document,Knowledge graph node 292,community-4,9.2
NODE-00293,person,Knowledge graph node 293,community-5,9.3
NODE-00294,dataset,Knowledge graph node 294,community-6,9.4
NODE-00295,concept,Knowledge graph node 295,community-7,9.5
NODE-00296,service,Knowledge graph node 296,community-8,9.6
NODE-00297,document,Knowledge graph node 297,community-9,9.7
NODE-00298,person,Knowledge graph node 298,community-10,9.8
NODE-00299,dataset,Knowledge graph node 299,community-11,9.9
NODE-00300,concept,Knowledge graph node 300,community-12,0.0
NODE-00301,service,Knowledge graph node 301,community-13,0.1
NODE-00302,document,Knowledge graph node 302,community-14,0.2
NODE-00303,person,Knowledge graph node 303,community-15,0.3
NODE-00304,dataset,Knowledge graph node 304,community-16,0.4
NODE-00305,concept,Knowledge graph node 305,community-17,0.5
NODE-00306,service,Knowledge graph node 306,community-18,0.6
NODE-00307,document,Knowledge graph node 307,community-19,0.7
NODE-00308,person,Knowledge graph node 308,community-20,0.8
NODE-00309,dataset,Knowledge graph node 309,community-21,0.9
NODE-00310,concept,Knowledge graph node 310,community-22,1.0
NODE-00311,service,Knowledge graph node 311,community-23,1.1
NODE-00312,document,Knowledge graph node 312,community-0,1.2
NODE-00313,person,Knowledge graph node 313,community-1,1.3
NODE-00314,dataset,Knowledge graph node 314,community-2,1.4
NODE-00315,concept,Knowledge graph node 315,community-3,1.5
NODE-00316,service,Knowledge graph node 316,community-4,1.6
NODE-00317,document,Knowledge graph node 317,community-5,1.7
NODE-00318,person,Knowledge graph node 318,community-6,1.8
NODE-00319,dataset,Knowledge graph node 319,community-7,1.9
NODE-00320,concept,Knowledge graph node 320,community-8,2.0
NODE-00321,service,Knowledge graph node 321,community-9,2.1
NODE-00322,document,Knowledge graph node 322,community-10,2.2
NODE-00323,person,Knowledge graph node 323,community-11,2.3
NODE-00324,dataset,Knowledge graph node 324,community-12,2.4
NODE-00325,concept,Knowledge graph node 325,community-13,2.5
NODE-00326,service,Knowledge graph node 326,community-14,2.6
NODE-00327,document,Knowledge graph node 327,community-15,2.7
NODE-00328,person,Knowledge graph node 328,community-16,2.8
NODE-00329,dataset,Knowledge graph node 329,community-17,2.9
NODE-00330,concept,Knowledge graph node 330,community-18,3.0
NODE-00331,service,Knowledge graph node 331,community-19,3.1
NODE-00332,document,Knowledge graph node 332,community-20,3.2
NODE-00333,person,Knowledge graph node 333,community-21,3.3
NODE-00334,dataset,Knowledge graph node 334,community-22,3.4
NODE-00335,concept,Knowledge graph node 335,community-23,3.5
NODE-00336,service,Knowledge graph node 336,community-0,3.6
NODE-00337,document,Knowledge graph node 337,community-1,3.7
NODE-00338,person,Knowledge graph node 338,community-2,3.8
NODE-00339,dataset,Knowledge graph node 339,community-3,3.9
NODE-00340,concept,Knowledge graph node 340,community-4,4.0
NODE-00341,service,Knowledge graph node 341,community-5,4.1
NODE-00342,document,Knowledge graph node 342,community-6,4.2
NODE-00343,person,Knowledge graph node 343,community-7,4.3
NODE-00344,dataset,Knowledge graph node 344,community-8,4.4
NODE-00345,concept,Knowledge graph node 345,community-9,4.5
NODE-00346,service,Knowledge graph node 346,community-10,4.6
NODE-00347,document,Knowledge graph node 347,community-11,4.7
NODE-00348,person,Knowledge graph node 348,community-12,4.8
NODE-00349,dataset,Knowledge graph node 349,community-13,4.9
NODE-00350,concept,Knowledge graph node 350,community-14,5.0
NODE-00351,service,Knowledge graph node 351,community-15,5.1
NODE-00352,document,Knowledge graph node 352,community-16,5.2
NODE-00353,person,Knowledge graph node 353,community-17,5.3
NODE-00354,dataset,Knowledge graph node 354,community-18,5.4
NODE-00355,concept,Knowledge graph node 355,community-19,5.5
NODE-00356,service,Knowledge graph node 356,community-20,5.6
NODE-00357,document,Knowledge graph node 357,community-21,5.7
NODE-00358,person,Knowledge graph node 358,community-22,5.8
NODE-00359,dataset,Knowledge graph node 359,community-23,5.9
NODE-00360,concept,Knowledge graph node 360,community-0,6.0
NODE-00361,service,Knowledge graph node 361,community-1,6.1
NODE-00362,document,Knowledge graph node 362,community-2,6.2
NODE-00363,person,Knowledge graph node 363,community-3,6.3
NODE-00364,dataset,Knowledge graph node 364,community-4,6.4
NODE-00365,concept,Knowledge graph node 365,community-5,6.5
NODE-00366,service,Knowledge graph node 366,community-6,6.6
NODE-00367,document,Knowledge graph node 367,community-7,6.7
NODE-00368,person,Knowledge graph node 368,community-8,6.8
NODE-00369,dataset,Knowledge graph node 369,community-9,6.9
NODE-00370,concept,Knowledge graph node 370,community-10,7.0
NODE-00371,service,Knowledge graph node 371,community-11,7.1
NODE-00372,document,Knowledge graph node 372,community-12,7.2
NODE-00373,person,Knowledge graph node 373,community-13,7.3
NODE-00374,dataset,Knowledge graph node 374,community-14,7.4
NODE-00375,concept,Knowledge graph node 375,community-15,7.5
NODE-00376,service,Knowledge graph node 376,community-16,7.6
NODE-00377,document,Knowledge graph node 377,community-17,7.7
NODE-00378,person,Knowledge graph node 378,community-18,7.8
NODE-00379,dataset,Knowledge graph node 379,community-19,7.9
NODE-00380,concept,Knowledge graph node 380,community-20,8.0
NODE-00381,service,Knowledge graph node 381,community-21,8.1
NODE-00382,document,Knowledge graph node 382,community-22,8.2
NODE-00383,person,Knowledge graph node 383,community-23,8.3
NODE-00384,dataset,Knowledge graph node 384,community-0,8.4
NODE-00385,concept,Knowledge graph node 385,community-1,8.5
NODE-00386,service,Knowledge graph node 386,community-2,8.6
NODE-00387,document,Knowledge graph node 387,community-3,8.7
NODE-00388,person,Knowledge graph node 388,community-4,8.8
NODE-00389,dataset,Knowledge graph node 389,community-5,8.9
NODE-00390,concept,Knowledge graph node 390,community-6,9.0
NODE-00391,service,Knowledge graph node 391,community-7,9.1
NODE-00392,document,Knowledge graph node 392,community-8,9.2
NODE-00393,person,Knowledge graph node 393,community-9,9.3
NODE-00394,dataset,Knowledge graph node 394,community-10,9.4
NODE-00395,concept,Knowledge graph node 395,community-11,9.5
NODE-00396,service,Knowledge graph node 396,community-12,9.6
NODE-00397,document,Knowledge graph node 397,community-13,9.7
NODE-00398,person,Knowledge graph node 398,community-14,9.8
NODE-00399,dataset,Knowledge graph node 399,community-15,9.9
NODE-00400,concept,Knowledge graph node 400,community-16,0.0
NODE-00401,service,Knowledge graph node 401,community-17,0.1
NODE-00402,document,Knowledge graph node 402,community-18,0.2
NODE-00403,person,Knowledge graph node 403,community-19,0.3
NODE-00404,dataset,Knowledge graph node 404,community-20,0.4
NODE-00405,concept,Knowledge graph node 405,community-21,0.5
NODE-00406,service,Knowledge graph node 406,community-22,0.6
NODE-00407,document,Knowledge graph node 407,community-23,0.7
NODE-00408,person,Knowledge graph node 408,community-0,0.8
NODE-00409,dataset,Knowledge graph node 409,community-1,0.9
NODE-00410,concept,Knowledge graph node 410,community-2,1.0
NODE-00411,service,Knowledge graph node 411,community-3,1.1
NODE-00412,document,Knowledge graph node 412,community-4,1.2
NODE-00413,person,Knowledge graph node 413,community-5,1.3
NODE-00414,dataset,Knowledge graph node 414,community-6,1.4
NODE-00415,concept,Knowledge graph node 415,community-7,1.5
NODE-00416,service,Knowledge graph node 416,community-8,1.6
NODE-00417,document,Knowledge graph node 417,community-9,1.7
NODE-00418,person,Knowledge graph node 418,community-10,1.8
NODE-00419,dataset,Knowledge graph node 419,community-11,1.9
NODE-00420,concept,Knowledge graph node 420,community-12,2.0
NODE-00421,service,Knowledge graph node 421,community-13,2.1
NODE-00422,document,Knowledge graph node 422,community-14,2.2
NODE-00423,person,Knowledge graph node 423,community-15,2.3
NODE-00424,dataset,Knowledge graph node 424,community-16,2.4
NODE-00425,concept,Knowledge graph node 425,community-17,2.5
NODE-00426,service,Knowledge graph node 426,community-18,2.6
NODE-00427,document,Knowledge graph node 427,community-19,2.7
NODE-00428,person,Knowledge graph node 428,community-20,2.8
NODE-00429,dataset,Knowledge graph node 429,community-21,2.9
NODE-00430,concept,Knowledge graph node 430,community-22,3.0
NODE-00431,service,Knowledge graph node 431,community-23,3.1
NODE-00432,document,Knowledge graph node 432,community-0,3.2
NODE-00433,person,Knowledge graph node 433,community-1,3.3
NODE-00434,dataset,Knowledge graph node 434,community-2,3.4
NODE-00435,concept,Knowledge graph node 435,community-3,3.5
NODE-00436,service,Knowledge graph node 436,community-4,3.6
NODE-00437,document,Knowledge graph node 437,community-5,3.7
NODE-00438,person,Knowledge graph node 438,community-6,3.8
NODE-00439,dataset,Knowledge graph node 439,community-7,3.9
NODE-00440,concept,Knowledge graph node 440,community-8,4.0
NODE-00441,service,Knowledge graph node 441,community-9,4.1
NODE-00442,document,Knowledge graph node 442,community-10,4.2
NODE-00443,person,Knowledge graph node 443,community-11,4.3
NODE-00444,dataset,Knowledge graph node 444,community-12,4.4
NODE-00445,concept,Knowledge graph node 445,community-13,4.5
NODE-00446,service,Knowledge graph node 446,community-14,4.6
NODE-00447,document,Knowledge graph node 447,community-15,4.7
NODE-00448,person,Knowledge graph node 448,community-16,4.8
NODE-00449,dataset,Knowledge graph node 449,community-17,4.9
NODE-00450,concept,Knowledge graph node 450,community-18,5.0
NODE-00451,service,Knowledge graph node 451,community-19,5.1
NODE-00452,document,Knowledge graph node 452,community-20,5.2
NODE-00453,person,Knowledge graph node 453,community-21,5.3
NODE-00454,dataset,Knowledge graph node 454,community-22,5.4
NODE-00455,concept,Knowledge graph node 455,community-23,5.5
NODE-00456,service,Knowledge graph node 456,community-0,5.6
NODE-00457,document,Knowledge graph node 457,community-1,5.7
NODE-00458,person,Knowledge graph node 458,community-2,5.8
NODE-00459,dataset,Knowledge graph node 459,community-3,5.9
NODE-00460,concept,Knowledge graph node 460,community-4,6.0
NODE-00461,service,Knowledge graph node 461,community-5,6.1
NODE-00462,document,Knowledge graph node 462,community-6,6.2
NODE-00463,person,Knowledge graph node 463,community-7,6.3
NODE-00464,dataset,Knowledge graph node 464,community-8,6.4
NODE-00465,concept,Knowledge graph node 465,community-9,6.5
NODE-00466,service,Knowledge graph node 466,community-10,6.6
NODE-00467,document,Knowledge graph node 467,community-11,6.7
NODE-00468,person,Knowledge graph node 468,community-12,6.8
NODE-00469,dataset,Knowledge graph node 469,community-13,6.9
NODE-00470,concept,Knowledge graph node 470,community-14,7.0
NODE-00471,service,Knowledge graph node 471,community-15,7.1
NODE-00472,document,Knowledge graph node 472,community-16,7.2
NODE-00473,person,Knowledge graph node 473,community-17,7.3
NODE-00474,dataset,Knowledge graph node 474,community-18,7.4
NODE-00475,concept,Knowledge graph node 475,community-19,7.5
NODE-00476,service,Knowledge graph node 476,community-20,7.6
NODE-00477,document,Knowledge graph node 477,community-21,7.7
NODE-00478,person,Knowledge graph node 478,community-22,7.8
NODE-00479,dataset,Knowledge graph node 479,community-23,7.9
NODE-00480,concept,Knowledge graph node 480,community-0,8.0
NODE-00481,service,Knowledge graph node 481,community-1,8.1
NODE-00482,document,Knowledge graph node 482,community-2,8.2
NODE-00483,person,Knowledge graph node 483,community-3,8.3
NODE-00484,dataset,Knowledge graph node 484,community-4,8.4
