# fields
key,value
document_type,medium-product-catalog
version,1.0.0
generated,true
benchmark_size_class,medium
benchmark_profile,catalog-commerce

# table:products
id,name,category,status
PROD-00050,Benchmark Product 50,service,archived
PROD-00051,Benchmark Product 51,bundle,active
PROD-00052,Benchmark Product 52,hardware,draft
PROD-00053,Benchmark Product 53,software,archived
PROD-00054,Benchmark Product 54,service,active
PROD-00055,Benchmark Product 55,bundle,draft
PROD-00056,Benchmark Product 56,hardware,archived
PROD-00057,Benchmark Product 57,software,active
PROD-00058,Benchmark Product 58,service,draft
PROD-00059,Benchmark Product 59,bundle,archived
PROD-00060,Benchmark Product 60,hardware,active
PROD-00061,Benchmark Product 61,software,draft
PROD-00062,Benchmark Product 62,service,archived
PROD-00063,Benchmark Product 63,bundle,active
PROD-00064,Benchmark Product 64,hardware,draft
PROD-00065,Benchmark Product 65,software,archived
PROD-00066,Benchmark Product 66,service,active
PROD-00067,Benchmark Product 67,bundle,draft
PROD-00068,Benchmark Product 68,hardware,archived
PROD-00069,Benchmark Product 69,software,active
PROD-00070,Benchmark Product 70,service,draft
PROD-00071,Benchmark Product 71,bundle,archived
PROD-00072,Benchmark Product 72,hardware,active
PROD-00073,Benchmark Product 73,software,draft
PROD-00074,Benchmark Product 74,service,archived
PROD-00075,Benchmark Product 75,bundle,active
PROD-00076,Benchmark Product 76,hardware,draft
PROD-00077,Benchmark Product 77,software,archived
PROD-00078,Benchmark Product 78,service,active
PROD-00079,Benchmark Product 79,bundle,draft
PROD-00080,Benchmark Product 80,hardware,archived
PROD-00081,Benchmark Product 81,software,active
PROD-00082,Benchmark Product 82,service,draft
PROD-00083,Benchmark Product 83,bundle,archived
PROD-00084,Benchmark Product 84,hardware,active
PROD-00085,Benchmark Product 85,software,draft
PROD-00086,Benchmark Product 86,service,archived
PROD-00087,Benchmark Product 87,bundle,active
PROD-00088,Benchmark Product 88,hardware,draft
PROD-00089,Benchmark Product 89,software,archived
PROD-00090,Benchmark Product 90,service,active
PROD-00091,Benchmark Product 91,bundle,draft
PROD-00092,Benchmark Product 92,hardware,archived
PROD-00093,Benchmark Product 93,software,active
PROD-00094,Benchmark Product 94,service,draft
PROD-00095,Benchmark Product 95,bundle,archived
PROD-00096,Benchmark Product 96,hardware,active
PROD-00097,Benchmark Product 97,software,draft
PROD-00098,Benchmark Product 98,service,archived
PROD-00099,Benchmark Product 99,bundle,active
PROD-00100,Benchmark Product 100,hardware,draft
PROD-00101,Benchmark Product 101,software,archived
PROD-00102,Benchmark Product 102,service,active
PROD-00103,Benchmark Product 103,bundle,draft
PROD-00104,Benchmark Product 104,hardware,archived
PROD-00105,Benchmark Product 105,software,active
PROD-00106,Benchmark Product 106,service,draft
PROD-00107,Benchmark Product 107,bundle,archived
PROD-00108,Benchmark Product 108,hardware,active
PROD-00109,Benchmark Product 109,software,draft
PROD-00110,Benchmark Product 110,service,archived
PROD-00111,Benchmark Product 111,bundle,active
PROD-00112,Benchmark Product 112,hardware,draft
PROD-00113,Benchmark Product 113,software,archived
PROD-00114,Benchmark Product 114,service,active
PROD-00115,Benchmark Product 115,bundle,draft
PROD-00116,Benchmark Product 116,hardware,archived
PROD-00117,Benchmark Product 117,software,active
PROD-00118,Benchmark Product 118,service,draft
PROD-00119,Benchmark Product 119,bundle,archived
PROD-00120,Benchmark Product 120,hardware,active
PROD-00121,Benchmark Product 121,software,draft
PROD-00122,Benchmark Product 122,service,archived
PROD-00123,Benchmark Product 123,bundle,active
PROD-00124,Benchmark Product 124,hardware,draft
PROD-00125,Benchmark Product 125,software,archived
PROD-00126,Benchmark Product 126,service,active
PROD-00127,Benchmark Product 127,bundle,draft
PROD-00128,Benchmark Product 128,hardware,archived
PROD-00129,Benchmark Product 129,software,active
PROD-00130,Benchmark Product 130,service,draft
PROD-00131,Benchmark Product 131,bundle,archived
PROD-00132,Benchmark Product 132,hardware,active
PROD-00133,Benchmark Product 133,software,draft
PROD-00134,Benchmark Product 134,service,archived
PROD-00135,Benchmark Product 135,bundle,active
PROD-00136,Benchmark Product 136,hardware,draft
PROD-00137,Benchmark Product 137,software,archived
PROD-00138,Benchmark Product 138,service,active
PROD-00139,Benchmark Product 139,bundle,draft
PROD-00140,Benchmark Product 140,hardware,archived
PROD-00141,Benchmark Product 141,software,active
PROD-00142,Benchmark Product 142,service,draft
PROD-00143,Benchmark Product 143,bundle,archived
PROD-00144,Benchmark Product 144,hardware,active
PROD-00145,Benchmark Product 145,software,draft
PROD-00146,Benchmark Product 146,service,archived
PROD-00147,Benchmark Product 147,bundle,active
PROD-00148,Benchmark Product 148,hardware,draft
PROD-00149,Benchmark Product 149,software,archived
PROD-00150,Benchmark Product 150,service,active
PROD-00151,Benchmark Product 151,bundle,draft
PROD-00152,Benchmark Product 152,hardware,archived
PROD-00153,Benchmark Product 153,software,active
PROD-00154,Benchmark Product 154,service,draft
PROD-00155,Benchmark Product 155,bundle,archived
PROD-00156,Benchmark Product 156,hardware,active
PROD-00157,Benchmark Product 157,software,draft
PROD-00158,Benchmark Product 158,service,archived
PROD-00159,Benchmark Product 159,bundle,active
PROD-00160,Benchmark Product 160,hardware,draft
PROD-00161,Benchmark Product 161,software,archived
PROD-00162,Benchmark Product 162,service,active
PROD-00163,Benchmark Product 163,bundle,draft
PROD-00164,Benchmark Product 164,hardware,archived
PROD-00165,Benchmark Product 165,software,active
PROD-00166,Benchmark Product 166,service,draft
PROD-00167,Benchmark Product 167,bundle,archived
PROD-00168,Benchmark Product 168,hardware,active
PROD-00169,Benchmark Product 169,software,draft
PROD-00170,Benchmark Product 170,service,archived
PROD-00171,Benchmark Product 171,bundle,active
PROD-00172,Benchmark Product 172,hardware,draft
PROD-00173,Benchmark Product 173,software,archived
PROD-00174,Benchmark Product 174,service,active
PROD-00175,Benchmark Product 175,bundle,draft
PROD-00176,Benchmark Product 176,hardware,archived
PROD-00177,Benchmark Product 177,software,active
PROD-00178,Benchmark Product 178,service,draft
PROD-00179,Benchmark Product 179,bundle,archived

# table:prices
product_id,currency,amount
PROD-00001,EUR,13
PROD-00001,USD,13
PROD-00001,GBP,13
PROD-00002,EUR,16
PROD-00002,USD,16
PROD-00002,GBP,16
PROD-00003,EUR,19
PROD-00003,USD,19
PROD-00003,GBP,19
PROD-00004,EUR,22
PROD-00004,USD,22
PROD-00004,GBP,22
PROD-00005,EUR,25
PROD-00005,USD,25
PROD-00005,GBP,25
PROD-00006,EUR,28
PROD-00006,USD,28
PROD-00006,GBP,28
PROD-00007,EUR,31
PROD-00007,USD,31
PROD-00007,GBP,31
PROD-00008,EUR,34
PROD-00008,USD,34
PROD-00008,GBP,34
PROD-00009,EUR,37
PROD-00009,USD,37
PROD-00009,GBP,37
PROD-00010,EUR,40
PROD-00010,USD,40
PROD-00010,GBP,40
PROD-00011,EUR,43
PROD-00011,USD,43
PROD-00011,GBP,43
PROD-00012,EUR,46
PROD-00012,USD,46
PROD-00012,GBP,46
PROD-00013,EUR,49
PROD-00013,USD,49
PROD-00013,GBP,49
PROD-00014,EUR,52
PROD-00014,USD,52
PROD-00014,GBP,52
PROD-00015,EUR,55
PROD-00015,USD,55
PROD-00015,GBP,55
PROD-00016,EUR,58
PROD-00016,USD,58
PROD-00016,GBP,58
PROD-00017,EUR,61
PROD-00017,USD,61
PROD-00017,GBP,61
PROD-00018,EUR,64
PROD-00018,USD,64
PROD-00018,GBP,64
PROD-00019,EUR,67
PROD-00019,USD,67
PROD-00019,GBP,67
PROD-00020,EUR,70
PROD-00020,USD,70
PROD-00020,GBP,70
PROD-00021,EUR,73
PROD-00021,USD,73
PROD-00021,GBP,73
PROD-00022,EUR,76
PROD-00022,USD,76
PROD-00022,GBP,76
PROD-00023,EUR,79
PROD-00023,USD,79
PROD-00023,GBP,79
PROD-00024,EUR,82
PROD-00024,USD,82
PROD-00024,GBP,82
PROD-00025,EUR,85
PROD-00025,USD,85
PROD-00025,GBP,85
PROD-00026,EUR,88
PROD-00026,USD,88
PROD-00026,GBP,88
PROD-00027,EUR,91
PROD-00027,USD,91
PROD-00027,GBP,91
PROD-00028,EUR,94
PROD-00028,USD,94
PROD-00028,GBP,94
PROD-00029,EUR,97
PROD-00029,USD,97
PROD-00029,GBP,97
PROD-00030,EUR,100
PROD-00030,USD,100
PROD-00030,GBP,100
PROD-00031,EUR,103
PROD-00031,USD,103
PROD-00031,GBP,103
PROD-00032,EUR,106
PROD-00032,USD,106
PROD-00032,GBP,106
PROD-00033,EUR,109
PROD-00033,USD,109
PROD-00033,GBP,109
PROD-00034,EUR,112
PROD-00034,USD,112
PROD-00034,GBP,112
PROD-00035,EUR,115
PROD-00035,USD,115
PROD-00035,GBP,115
PROD-00036,EUR,118
PROD-00036,USD,118
PROD-00036,GBP,118
PROD-00037,EUR,121
PROD-00037,USD,121
PROD-00037,GBP,121
PROD-00038,EUR,124
PROD-00038,USD,124
PROD-00038,GBP,124
PROD-00039,EUR,127
PROD-00039,USD,127
PROD-00039,GBP,127
PROD-00040,EUR,130
PROD-00040,USD,130
PROD-00040,GBP,130
PROD-00041,EUR,133
PROD-00041,USD,133
PROD-00041,GBP,133
PROD-00042,EUR,136
PROD-00042,USD,136
PROD-00042,GBP,136
PROD-00043,EUR,139
PROD-00043,USD,139
PROD-00043,GBP,139
PROD-00044,EUR,142
PROD-00044,USD,142
PROD-00044,GBP,142
PROD-00045,EUR,145
PROD-00045,USD,145
PROD-00045,GBP,145
PROD-00046,EUR,148
PROD-00046,USD,148
PROD-00046,GBP,148
PROD-00047,EUR,151
PROD-00047,USD,151
PROD-00047,GBP,151
PROD-00048,EUR,154
PROD-00048,USD,154
PROD-00048,GBP,154
PROD-00049,EUR,157
PROD-00049,USD,157
PROD-00049,GBP,157
PROD-00050,EUR,160
PROD-00050,USD,160
PROD-00050,GBP,160
PROD-00051,EUR,163
PROD-00051,USD,163
PROD-00051,GBP,163
PROD-00052,EUR,166
PROD-00052,USD,166
PROD-00052,GBP,166
PROD-00053,EUR,169
PROD-00053,USD,169
PROD-00053,GBP,169
PROD-00054,EUR,172
PROD-00054,USD,172
PROD-00054,GBP,172
PROD-00055,EUR,175
PROD-00055,USD,175
PROD-00055,GBP,175
PROD-00056,EUR,178
PROD-00056,USD,178
PROD-00056,GBP,178
PROD-00057,EUR,181
PROD-00057,USD,181
PROD-00057,GBP,181
PROD-00058,EUR,184
PROD-00058,USD,184
PROD-00058,GBP,184
PROD-00059,EUR,187
PROD-00059,USD,187
PROD-00059,GBP,187
PROD-00060,EUR,190
PROD-00060,USD,190
PROD-00060,GBP,190
PROD-00061,EUR,193
PROD-00061,USD,193
PROD-00061,GBP,193
PROD-00062,EUR,196
PROD-00062,USD,196
PROD-00062,GBP,196
PROD-00063,EUR,199
PROD-00063,USD,199
PROD-00063,GBP,199
PROD-00064,EUR,202
PROD-00064,USD,202
PROD-00064,GBP,202
PROD-00065,EUR,205
PROD-00065,USD,205
PROD-00065,GBP,205
PROD-00066,EUR,208
PROD-00066,USD,208
PROD-00066,GBP,208
PROD-00067,EUR,211
PROD-00067,USD,211
PROD-00067,GBP,211
PROD-00068,EUR,214
PROD-00068,USD,214
PROD-00068,GBP,214
PROD-00069,EUR,217
PROD-00069,USD,217
PROD-00069,GBP,217
PROD-00070,EUR,220
PROD-00070,USD,220
PROD-00070,GBP,220
PROD-00071,EUR,223
PROD-00071,USD,223
PROD-00071,GBP,223
PROD-00072,EUR,226
PROD-00072,USD,226
PROD-00072,GBP,226
PROD-00073,EUR,229
PROD-00073,USD,229
PROD-00073,GBP,229
PROD-00074,EUR,232
PROD-00074,USD,232
PROD-00074,GBP,232
PROD-00075,EUR,235
PROD-00075,USD,235
PROD-00075,GBP,235
PROD-00076,EUR,238
PROD-00076,USD,238
PROD-00076,GBP,238
PROD-00077,EUR,241
PROD-00077,USD,241
PROD-00077,GBP,241
PROD-00078,EUR,244
PROD-00078,USD,244
PROD-00078,GBP,244
PROD-00079,EUR,247
PROD-00079,USD,247
PROD-00079,GBP,247
PROD-00080,EUR,250
PROD-00080,USD,250
PROD-00080,GBP,250
PROD-00081,EUR,253
PROD-00081,USD,253
PROD-00081,GBP,253
PROD-00082,EUR,256
PROD-00082,USD,256
PROD-00082,GBP,256
PROD-00083,EUR,259
PROD-00083,USD,259
PROD-00083,GBP,259
PROD-00084,EUR,262
PROD-00084,USD,262
PROD-00084,GBP,262
PROD-00085,EUR,265
PROD-00085,USD,265
PROD-00085,GBP,265
PROD-00086,EUR,268
PROD-00086,USD,268
PROD-00086,GBP,268
PROD-00087,EUR,271
PROD-00087,USD,271
PROD-00087,GBP,271
PROD-00088,EUR,274
PROD-00088,USD,274
PROD-00088,GBP,274
PROD-00089,EUR,277
PROD-00089,USD,277
PROD-00089,GBP,277
PROD-00090,EUR,280
PROD-00090,USD,280
PROD-00090,GBP,280
PROD-00091,EUR,283
PROD-00091,USD,283
PROD-00091,GBP,283
PROD-00092,EUR,286
PROD-00092,USD,286
PROD-00092,GBP,286
PROD-00093,EUR,289
PROD-00093,USD,289
PROD-00093,GBP,289
PROD-00094,EUR,292
PROD-00094,USD,292
PROD-00094,GBP,292
PROD-00095,EUR,295
PROD-00095,USD,295
PROD-00095,GBP,295
PROD-00096,EUR,298
PROD-00096,USD,298
PROD-00096,GBP,298
PROD-00097,EUR,301
PROD-00097,USD,301
PROD-00097,GBP,301
PROD-00098,EUR,304
PROD-00098,USD,304
PROD-00098,GBP,304
PROD-00099,EUR,307
PROD-00099,USD,307
PROD-00099,GBP,307
PROD-00100,EUR,310
PROD-00100,USD,310
PROD-00100,GBP,310
PROD-00101,EUR,313
PROD-00101,USD,313
PROD-00101,GBP,313
PROD-00102,EUR,316
PROD-00102,USD,316
PROD-00102,GBP,316
PROD-00103,EUR,319
PROD-00103,USD,319
PROD-00103,GBP,319
PROD-00104,EUR,322
PROD-00104,USD,322
PROD-00104,GBP,322
PROD-00105,EUR,325
PROD-00105,USD,325
PROD-00105,GBP,325
PROD-00106,EUR,328
PROD-00106,USD,328
PROD-00106,GBP,328
PROD-00107,EUR,331
PROD-00107,USD,331
PROD-00107,GBP,331
PROD-00108,EUR,334
PROD-00108,USD,334
PROD-00108,GBP,334
PROD-00109,EUR,337
PROD-00109,USD,337
PROD-00109,GBP,337
PROD-00110,EUR,340
PROD-00110,USD,340
PROD-00110,GBP,340
PROD-00111,EUR,343
PROD-00111,USD,343
PROD-00111,GBP,343
PROD-00112,EUR,346
PROD-00112,USD,346
PROD-00112,GBP,346
PROD-00113,EUR,349
PROD-00113,USD,349
PROD-00113,GBP,349
PROD-00114,EUR,352
PROD-00114,USD,352
PROD-00114,GBP,352
PROD-00115,EUR,355
PROD-00115,USD,355
PROD-00115,GBP,355
PROD-00116,EUR,358
PROD-00116,USD,358
PROD-00116,GBP,358
PROD-00117,EUR,361
PROD-00117,USD,361
PROD-00117,GBP,361
PROD-00118,EUR,364
PROD-00118,USD,364
PROD-00118,GBP,364
PROD-00119,EUR,367
PROD-00119,USD,367
PROD-00119,GBP,367
PROD-00120,EUR,370
PROD-00120,USD,370
PROD-00120,GBP,370
PROD-00121,EUR,373
PROD-00121,USD,373
PROD-00121,GBP,373
PROD-00122,EUR,376
PROD-00122,USD,376
PROD-00122,GBP,376
PROD-00123,EUR,379
PROD-00123,USD,379
PROD-00123,GBP,379
PROD-00124,EUR,382
PROD-00124,USD,382
PROD-00124,GBP,382
PROD-00125,EUR,385
PROD-00125,USD,385
PROD-00125,GBP,385
PROD-00126,EUR,388
PROD-00126,USD,388
PROD-00126,GBP,388
PROD-00127,EUR,391
PROD-00127,USD,391
PROD-00127,GBP,391
PROD-00128,EUR,394
PROD-00128,USD,394
PROD-00128,GBP,394
PROD-00129,EUR,397
PROD-00129,USD,397
PROD-00129,GBP,397
PROD-00130,EUR,400
PROD-00130,USD,400
PROD-00130,GBP,400
PROD-00131,EUR,403
PROD-00131,USD,403
PROD-00131,GBP,403
PROD-00132,EUR,406
PROD-00132,USD,406
PROD-00132,GBP,406
PROD-00133,EUR,409
PROD-00133,USD,409
PROD-00133,GBP,409
PROD-00134,EUR,412
PROD-00134,USD,412
PROD-00134,GBP,412
PROD-00135,EUR,415
PROD-00135,USD,415
PROD-00135,GBP,415
PROD-00136,EUR,418
PROD-00136,USD,418
PROD-00136,GBP,418
PROD-00137,EUR,421
PROD-00137,USD,421
PROD-00137,GBP,421
PROD-00138,EUR,424
PROD-00138,USD,424
PROD-00138,GBP,424
PROD-00139,EUR,427
PROD-00139,USD,427
PROD-00139,GBP,427
PROD-00140,EUR,430
PROD-00140,USD,430
PROD-00140,GBP,430
PROD-00141,EUR,433
PROD-00141,USD,433
PROD-00141,GBP,433
PROD-00142,EUR,436
PROD-00142,USD,436
PROD-00142,GBP,436
PROD-00143,EUR,439
PROD-00143,USD,439
PROD-00143,GBP,439
PROD-00144,EUR,442
PROD-00144,USD,442
PROD-00144,GBP,442
PROD-00145,EUR,445
PROD-00145,USD,445
PROD-00145,GBP,445
PROD-00146,EUR,448
PROD-00146,USD,448
PROD-00146,GBP,448
PROD-00147,EUR,451
PROD-00147,USD,451
PROD-00147,GBP,451
PROD-00148,EUR,454
PROD-00148,USD,454
PROD-00148,GBP,454
PROD-00149,EUR,457
PROD-00149,USD,457
PROD-00149,GBP,457
PROD-00150,EUR,460
PROD-00150,USD,460
PROD-00150,GBP,460
PROD-00151,EUR,463
PROD-00151,USD,463
PROD-00151,GBP,463
PROD-00152,EUR,466
PROD-00152,USD,466
PROD-00152,GBP,466
PROD-00153,EUR,469
PROD-00153,USD,469
PROD-00153,GBP,469
PROD-00154,EUR,472
PROD-00154,USD,472
PROD-00154,GBP,472
PROD-00155,EUR,475
PROD-00155,USD,475
PROD-00155,GBP,475
PROD-00156,EUR,478
PROD-00156,USD,478
PROD-00156,GBP,478
PROD-00157,EUR,481
PROD-00157,USD,481
PROD-00157,GBP,481
PROD-00158,EUR,484
PROD-00158,USD,484
PROD-00158,GBP,484
PROD-00159,EUR,487
PROD-00159,USD,487
PROD-00159,GBP,487
PROD-00160,EUR,490
PROD-00160,USD,490
PROD-00160,GBP,490
PROD-00161,EUR,493
PROD-00161,USD,493
PROD-00161,GBP,493
PROD-00162,EUR,496
PROD-00162,USD,496
PROD-00162,GBP,496
PROD-00163,EUR,499
PROD-00163,USD,499
PROD-00163,GBP,499
PROD-00164,EUR,502
PROD-00164,USD,502
PROD-00164,GBP,502
PROD-00165,EUR,505
PROD-00165,USD,505
PROD-00165,GBP,505
PROD-00166,EUR,508
PROD-00166,USD,508
PROD-00166,GBP,508
PROD-00167,EUR,11
PROD-00167,USD,11
PROD-00167,GBP,11
PROD-00168,EUR,14
PROD-00168,USD,14
PROD-00168,GBP,14
PROD-00169,EUR,17
PROD-00169,USD,17
PROD-00169,GBP,17
PROD-00170,EUR,20
PROD-00170,USD,20
PROD-00170,GBP,20
PROD-00171,EUR,23
PROD-00171,USD,23
PROD-00171,GBP,23
PROD-00172,EUR,26
PROD-00172,USD,26
PROD-00172,GBP,26
PROD-00173,EUR,29
PROD-00173,USD,29
PROD-00173,GBP,29
PROD-00174,EUR,32
PROD-00174,USD,32
PROD-00174,GBP,32
PROD-00175,EUR,35
PROD-00175,USD,35
PROD-00175,GBP,35
PROD-00176,EUR,38
PROD-00176,USD,38
PROD-00176,GBP,38
PROD-00177,EUR,41
PROD-00177,USD,41
PROD-00177,GBP,41
PROD-00178,EUR,44
PROD-00178,USD,44
PROD-00178,GBP,44
PROD-00179,EUR,47
PROD-00179,USD,47
PROD-00179,GBP,47

# table:attributes
product_id,name,value
PROD-00001-v2,attribute_1-v2,value_1_1-v2
PROD-00001-v2,attribute_2-v2,value_1_2-v2
PROD-00001-v2,attribute_3-v2,value_1_3-v2
PROD-00001-v2,attribute_4-v2,value_1_4-v2
PROD-00002-v2,attribute_1-v2,value_2_1-v2
PROD-00002-v2,attribute_2-v2,value_2_2-v2
PROD-00002-v2,attribute_3-v2,value_2_3-v2
PROD-00002-v2,attribute_4-v2,value_2_4-v2
PROD-00003-v2,attribute_1-v2,value_3_1-v2
PROD-00003-v2,attribute_2-v2,value_3_2-v2
PROD-00003-v2,attribute_3-v2,value_3_3-v2
PROD-00003-v2,attribute_4-v2,value_3_4-v2
PROD-00004-v2,attribute_1-v2,value_4_1-v2
PROD-00004-v2,attribute_2-v2,value_4_2-v2
PROD-00004-v2,attribute_3-v2,value_4_3-v2
PROD-00004-v2,attribute_4-v2,value_4_4-v2
PROD-00005-v2,attribute_1-v2,value_5_1-v2
PROD-00005-v2,attribute_2-v2,value_5_2-v2
PROD-00005-v2,attribute_3-v2,value_5_3-v2
PROD-00005-v2,attribute_4-v2,value_5_4-v2
PROD-00006-v2,attribute_1-v2,value_6_1-v2
PROD-00006-v2,attribute_2-v2,value_6_2-v2
PROD-00006-v2,attribute_3-v2,value_6_3-v2
PROD-00006-v2,attribute_4-v2,value_6_4-v2
PROD-00007-v2,attribute_1-v2,value_7_1-v2
PROD-00007-v2,attribute_2-v2,value_7_2-v2
PROD-00007-v2,attribute_3-v2,value_7_3-v2
PROD-00007-v2,attribute_4-v2,value_7_4-v2
PROD-00008-v2,attribute_1-v2,value_8_1-v2
PROD-00008-v2,attribute_2-v2,value_8_2-v2
PROD-00008-v2,attribute_3-v2,value_8_3-v2
PROD-00008-v2,attribute_4-v2,value_8_4-v2
PROD-00009-v2,attribute_1-v2,value_9_1-v2
PROD-00009-v2,attribute_2-v2,value_9_2-v2
PROD-00009-v2,attribute_3-v2,value_9_3-v2
PROD-00009-v2,attribute_4-v2,value_9_4-v2
PROD-00010-v2,attribute_1-v2,value_10_1-v2
PROD-00010-v2,attribute_2-v2,value_10_2-v2
PROD-00010-v2,attribute_3-v2,value_10_3-v2
PROD-00010-v2,attribute_4-v2,value_10_4-v2
PROD-00011-v2,attribute_1-v2,value_11_1-v2
PROD-00011-v2,attribute_2-v2,value_11_2-v2
PROD-00011-v2,attribute_3-v2,value_11_3-v2
PROD-00011-v2,attribute_4-v2,value_11_4-v2
PROD-00012-v2,attribute_1-v2,value_12_1-v2
PROD-00012-v2,attribute_2-v2,value_12_2-v2
PROD-00012-v2,attribute_3-v2,value_12_3-v2
PROD-00012-v2,attribute_4-v2,value_12_4-v2
PROD-00013-v2,attribute_1-v2,value_13_1-v2
PROD-00013-v2,attribute_2-v2,value_13_2-v2
PROD-00013-v2,attribute_3-v2,value_13_3-v2
PROD-00013-v2,attribute_4-v2,value_13_4-v2
PROD-00014-v2,attribute_1-v2,value_14_1-v2
PROD-00014-v2,attribute_2-v2,value_14_2-v2
PROD-00014-v2,attribute_3-v2,value_14_3-v2
PROD-00014-v2,attribute_4-v2,value_14_4-v2
PROD-00015-v2,attribute_1-v2,value_15_1-v2
PROD-00015-v2,attribute_2-v2,value_15_2-v2
PROD-00015-v2,attribute_3-v2,value_15_3-v2
PROD-00015-v2,attribute_4-v2,value_15_4-v2
PROD-00016-v2,attribute_1-v2,value_16_1-v2
PROD-00016-v2,attribute_2-v2,value_16_2-v2
PROD-00016-v2,attribute_3-v2,value_16_3-v2
PROD-00016-v2,attribute_4-v2,value_16_4-v2
PROD-00017-v2,attribute_1-v2,value_17_1-v2
PROD-00017-v2,attribute_2-v2,value_17_2-v2
PROD-00017-v2,attribute_3-v2,value_17_3-v2
PROD-00017-v2,attribute_4-v2,value_17_4-v2
PROD-00018-v2,attribute_1-v2,value_18_1-v2
PROD-00018-v2,attribute_2-v2,value_18_2-v2
PROD-00018-v2,attribute_3-v2,value_18_3-v2
PROD-00018-v2,attribute_4-v2,value_18_4-v2
PROD-00019-v2,attribute_1-v2,value_19_1-v2
PROD-00019-v2,attribute_2-v2,value_19_2-v2
PROD-00019-v2,attribute_3-v2,value_19_3-v2
PROD-00019-v2,attribute_4-v2,value_19_4-v2
PROD-00020-v2,attribute_1-v2,value_20_1-v2
PROD-00020-v2,attribute_2-v2,value_20_2-v2
PROD-00020-v2,attribute_3-v2,value_20_3-v2
PROD-00020-v2,attribute_4-v2,value_20_4-v2
PROD-00021-v2,attribute_1-v2,value_21_1-v2
PROD-00021-v2,attribute_2-v2,value_21_2-v2
PROD-00021-v2,attribute_3-v2,value_21_3-v2
PROD-00021-v2,attribute_4-v2,value_21_4-v2
PROD-00022-v2,attribute_1-v2,value_22_1-v2
PROD-00022-v2,attribute_2-v2,value_22_2-v2
PROD-00022-v2,attribute_3-v2,value_22_3-v2
PROD-00022-v2,attribute_4-v2,value_22_4-v2
PROD-00023-v2,attribute_1-v2,value_23_1-v2
PROD-00023-v2,attribute_2-v2,value_23_2-v2
PROD-00023-v2,attribute_3-v2,value_23_3-v2
PROD-00023-v2,attribute_4-v2,value_23_4-v2
PROD-00024-v2,attribute_1-v2,value_24_1-v2
PROD-00024-v2,attribute_2-v2,value_24_2-v2
PROD-00024-v2,attribute_3-v2,value_24_3-v2
PROD-00024-v2,attribute_4-v2,value_24_4-v2
PROD-00025-v2,attribute_1-v2,value_25_1-v2
PROD-00025-v2,attribute_2-v2,value_25_2-v2
PROD-00025-v2,attribute_3-v2,value_25_3-v2
PROD-00025-v2,attribute_4-v2,value_25_4-v2
PROD-00026-v2,attribute_1-v2,value_26_1-v2
PROD-00026-v2,attribute_2-v2,value_26_2-v2
PROD-00026-v2,attribute_3-v2,value_26_3-v2
PROD-00026-v2,attribute_4-v2,value_26_4-v2
PROD-00027-v2,attribute_1-v2,value_27_1-v2
